Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
Promethazine Hydrochloride,,,YES,Antihistamine with potent sedative properties; anti-emetic.,Anergan;Anergan 25;Anergan 50;Component of Phenergan VC;Component of Phenergan-D;Ganphen;Histantil;K-Phen 50;Mepergan;Pentazine;Phenameth;Phenazine;Phenergan;PMS-Promethazine;Promet 50;Promethazine Fortis;Promethazine VC Plain;Promethegan;Prorex;Prothazine;Ramsed;Remsed;Shaogan;V-Gan,,,,Ancillary Agent,
Propranolol,,,YES,Propranolol is used to treat benign hemangiomas in children and infants. This condition is a malformation and not a tumor. It is not reportable.,Inderal,Benign hemangioma,,,Other therapy,Beta blocker
Proscar,,,YES,Finasteride is also prescribed for treatment of BPH and hair loss in men. Finasteride has been found to increase risk of high-grade prostate cancer and has not received FDA approval as treatment for prostate cancer.,Finasteride;Propecia,Prostate,,,Hormones and hormonal mechanisms,5-alpha-reductase inhibitor
Protease inhibitor,,,YES,"Inhibits the protease enzyme necessary for formation of functional, infectious virions",Ro 31-8959,,,,AIDS drug,
Protein A Staphylococcus Aureus,,,NO,,Cowan I,,,,"Biologic therapy (BRM, immunotherapy)",
Proteinase 3 Peptide Vaccine,,,NO,Phase I Vaccine. NCI.,,Leukemia,,698102,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Prothecan,,,NO,Phase II Toposiomerase I inhibitor. Enzon.,PEG-Camptothecin,Gastric;lung;pancreatic cancer,,,Chemotherapy,Topoisomerase inhibitor
Protirelin,,,NO,Synthetic thyrotropin-releasing hormone.,Abbott-38579;hyroliberin;Lopremone;Refefact TRH;Thypinone;Thyrel TRH;Thyrotropin-releasing hormone;TRF;TRH,,,,Hormones and hormonal mechanisms,Thyrotropin releasing hormone.  Probably not cancer directed--verify with attending MD.
Provenge Therapeutic Vaccine,,,NO,Phase III Dendreon.,APC 8015;APC-8015;APC8015;PAP-loaded DC;Sipuleucel-T,Prostate cancer,,720270,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Pseudomonas aeruginosa,,,NO,Bacterial and Fungi biological,,,,,"Biologic therapy (BRM, immunotherapy)",
Psoralen,,,NO,A photoactive agent (photosensitizer). FDA approved use as palliation in cutaneous T-cell lymphoma.,8-methoxypsoralen;8-MOP;Methoxsalen;Methoxypsoralen;MOP;Oxsoralen;Oxsoralen Ultra;Photochemo.;Ultramop;Uvadex,,,45923;045923,Ancillary Agent,code to Other Therapy when used in combination with Ultraviolet A light (PUVA therapy);Photosensitizer
Pure anti-estrogen,,,NO,Phase III Anti-estrogen. Schering-Plough.,,Breast cancer,,,Hormones and hormonal mechanisms,Antiestrogen
Puromycin (HCl),,,NO,,1-MM;3123L;536;CL-16;P-638;Puromycin;Stillo-mycin;Stylomycin,,,3055,Chemotherapy,Antitumor antibiotic
Pylarify,,,YES,"5/27/2021 FDA has approved Pylarify (piflufolastat F 18) – a drug for positron emission tomography (PET) imaging of prostate-specific membrane antigen (PSMA) positive lesions in men with prostate cancer. With the approval of Pylarify, certain men with prostate cancer will have greater access to PSMA-targeted PET imaging that can aid health care providers in assessing prostate cancer.

IMPORTANT NOTE: This drug was added to SEER*RX as reference only so that users know it's purpose in assessing prostate cancer. It is NOT a treatment.",piflufolastat F 18,Prostate,,,Other therapy,DO NOT CODE- NOT A TREATMENT
Pyran copolymer,,,NO,,Divema;Pyran;Pyran XA 124-177;XA 146-85-2,,,46015,"Biologic therapy (BRM, immunotherapy)",
Pyrantel Pamoate,,,YES,An anthelmintic agent.,Antiminth;Combantrin;JAA Pyral;One Step Pinworm Treatment;Pin-Rid;Pin-X;Pinworm;Pinworm Medicine;Pyrantel Embonate;Reese's Pinworm Medicine,,,,AIDS drug,
Pyrazinamide,,,YES,Antitubercular.,D-50;MK-56;PMS Pyrazinamide;Tebrazid,,PZA,,Ancillary Agent;AIDS drug,
Pyrazine diazohydroxide,,,NO,,,Leukemia,PZDH,361456,Chemotherapy,Miscellaneous agent
Pyrazofurin,,,NO,,47599;Antibiotic A 23813;Pirazofurin;Pyrazomycin,,PRZF;PZF,143095,Chemotherapy,Antimetabolite and enzyme inhibitor
Pyrazoloacridine,,,NO,"Phase II Topoisomerase I/II ibhibitor. NCI, Pfizer.",,Brain;breast cancer,,366140,Chemotherapy,Topoisomerase inhibitor
Pyrazoloimidazole compound,,,NO,,Pyridazole imidazole,,IMPY,51143,Chemotherapy,Antimetabolite
Pyridoxine Hydrochloride,,,YES,Vitamin; reduces neurotoxicity,Adermine hydrochloride;B6-250;Beesix;Hexa-betalin;Marlyn Formula 50;Nestrex;Pyridoxal hydrochloride;Releaf for PMS;Rodex;Vitamin B6,,,36225,Ancillary Agent,
Pyrimethamine,,,YES,"Antiprotozoal agent, antimalaria, antiparasitic. Rx of toxoplasmosis",BW 50-63;Chloridin;Chloridine;Component of Fansidar;Dapaprim;Darapram;Daraprim;Daraprime;Diaminopyritamin;Erbaprelina;Malocide;Pirimecidan;Pirimetamina;Tindurin,,,3061,Ancillary Agent;AIDS drug,
Quadrakine,,,NO,Phase I Interleukin-4. Schering-Plough.,,Gastric cancer,,,"Biologic therapy (BRM, immunotherapy)",Interleukin
Quinacrine,,,YES,"Drug of choice for giardiasis. Antiprotozoal agent, antimalarial. Effective in neoplastic effusion.",Acrichine;Acrinamine;Acriquin;Acriquine;Akrichin;Antimalarina;Atabrine;Atabrine HCl;Haffkinine;Haffkynine;Italchine;Mepacrine;Mepacrine Hydrochloride;Quinacrine Hydrochloride;Quinactine,,Atab;QUIN,14229,Ancillary Agent;AIDS drug,
Quinestrol,,,NO,The 3-cyclopentyl ether of ethinyl estradiol (estrogen); a synthetic estrogen that has been reported to result in remission of postmenopausal symptoms in many patients.,Estrovis;W-3566,,,,Hormones and hormonal mechanisms,Estrogen
Quingestanol Acetate,,,NO,Progestin,W-4540,Prostate cancer,,,Hormones and hormonal mechanisms,Progestin
Quingestrone,,,NO,Progestin,W-3399,,,,Hormones and hormonal mechanisms,No longer in use
Quinidine,,,YES,An antiarrhythmic agent; chemosensitizing agent.  Antimalarial.,Apo-Quinidine;Biquin Durules;Cardioquin;Cin-Quin;Duraquin;Natisedine;Novoquinidin;Quin-Release;Quinaglute Dura-Tabs;Quinalan;Quinate;Quinatime;Quinidex Extentabs;Quinobarb;Quinora;SK-Quinidine Sulfate,,,,Ancillary Agent,
Quizartinib,,,NO,This investigational drug is currently in clinical trials for AML with specific genetic mutations.,,Acute myeloid leukemia;AML,,,Chemotherapy,
R-Verapamil HCl,,,YES,Calcium channel blocking agent,,,,632821,Ancillary Agent,
R04929097,,,NO,"New drug currently in trials, code in other therapy",,advanced breast;NSCLC;pediatric neuroblastoma;solid tumors,,,Chemotherapy,Gamma-secretase inhibitor
R440,,,NO,Phase II Cell cycle inhibitor. Hoffmann-La Roche.,,Breast;colorectal;lung cancer,,,Chemotherapy,Cytostatic agent--apoptosis inducer
RAS 5-17 Peptide Vaccine,,,NO,Phase I NCI.,,Colorectal;lung;other;pancreatic;prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
RB894,,,NO,Preclinical Adenovirus. Introgen Therapeutics.,,Head & neck cancer,,,"Biologic therapy (BRM, immunotherapy)",Adenovirus
RC-3095,,,NO,Phase I Bomesin receptor antagonist. AEterna Laboratories.,RC 3095;RC3095,Colorectal;gastric;lung;pancreatic;prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Bombesin/gastrin releasing peptide antagonist
RIGScanCR49,,,YES,Phase I Monoclonal antibody diagnostic. RIG=Radioimmuno guided surgery. Neoprobe Oncology Surgery.,,Colorectal cancer,,,Ancillary Agent,Diagnostic only
RO5072759,,,NO,"Phase I&III New drug currently in trials, code in Other Therapy",RO5072759,CLL;NHL,,,"Biologic therapy (BRM, immunotherapy)",Anti CD20 Antibody
RO5185426,,,NO,Phase I&II,RO5185426,Malignant Melanoma,,,Chemotherapy,B-raf Kinase Inhibitor
RS7,,,NO,Phase I Humanized monoclonal antibody. Immunomedics.,hRS7,Other cancer,,,Radiation,Radioisotope conjugated to monoclonal antibody
RSR13,,,NO,"Phase III brain metastases, Phase II (breast, NSCLC) Synthetic allosteric hemoglobin radiosensitizer. Allos Therapeutics.",Efaproxyn;RSR-13,Brain;breast;lung cancer,,722758,Ancillary Agent,Radiosensitizer
RSU 1069,,,NO,Radiosensitizer,,,,,Ancillary Agent,Radiosensitizer
RTA744,,,NO,Phase I malig CNS 2007 Anthracycline that penetrates blood-brain barrier.  Reata Pharmaceuticals,RTA 744;RTA-744;WP 744;WP-744;WP744,Malignant CNS tumors,,,Chemotherapy,Topoisomerase II inhibitor
Radiation,,,NO,,,,,,Radiation,Code in Radiation field
Radiolabeled J591,,,NO,Phase I Monoclonal antibody. Millenium Pharmaceuticals.,,Prostate cancer,,,Radiation,Radioisotope conjugated to monoclonal antibody
Raloxifene,,,NO,Phase III Selective estrogen receptor modulator (SERM). Eli Lilly.,Evista;Keoxifene Hydrochloride;Ly 139481;LY 156758;LY-139481 (raloxifene);LY-156758;LY139481;LY156758;Raloxifene;Raloxifene Hydrochloride,Breast cancer,,706725,Hormones and hormonal mechanisms,SERM
Ranitidine Hydrochloride,,,YES,"Ranitidine is effective in the treatment of peptic ulcer disease and pathological hypersecretory diseases, such as Zollinger-Ellison syndrome. Ranitidine has also been used in combination with antibiotics for the treatment of Helicobacter pylori.",Alti-Ranitidine;Apo-Ranitidine;Novo-Ranitidine;Nu-Ranit;Ranital;Zantac,,,,Ancillary Agent,
Ranomustine,,,YES,This drug approved in Japan only. There are no US clinical trials for this agent.,Cymerin;MCNU;Ranimustine,,,,Chemotherapy,Nitrosourea alkylating agent
Rasburicase,,,YES,Controls hyperuricemia from tumor lysis.,Elitek;Fasturtec,,,,Ancillary Agent,
Razoxane,,,NO,"Radiosensitizer, cardioprotectant, and carcinogenic drug.  Not found in Drugdex drug evaluation.",ICI-59118;ICRF-159;Tepirone,,,129943,Chemotherapy,Antineoplastic no longer in use
Rebeccamycin,,,NO,,DEAE Rebeccamycin;Rebeccamycin Analog;BMS-181176;BMS181176;XL119;XL-119;XL 119,Gall Bladder;Cholangiocarcinoma;Brain;Breast;Colorectal;Kidney;Liver;Small Cell Lung Cancer (SCLC),,655649,Chemotherapy,Antineoplastic antibiotic
Recombinant Fowlpox gp100P209,,,NO,Phase II,rv-gp100P209,,,702138,"Biologic therapy (BRM, immunotherapy)",Vaccine
Recombinant HumanThyrotropin,,,SEE_REMARKS,"Used as an adjunct to radioiodine scanning in the follow-up of thyroid carcinoma.  Stimulates the secretion of pituitary thyroid stimulating hormone from the anterior pituitary and has been shown that protirelin increases secretion of prolactin.

This drug is probably not being given as a cancer directed agent. Verify with the attending MD before coding. ",Protirelin;Recombinant human thyrotrophin;Recombinant human TSH;rhTSH;Thyrogen,,,,Hormones and hormonal mechanisms,Thyroid stimulating hormone.  Probably not cancer directed--verify with attending MD.
Recombinant Soluble Human CD4,,,NO,Orphan drug.,rCD4,AIDS;Opportunistic infection,rCD4,,"Biologic therapy (BRM, immunotherapy)",
Recombinant Soluble PSMA Vaccine,,,NO,Phase I Progenics Pharmaceuticals.,,Pancreatic  caner,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Recombinant Soluble T4,,,NO,,sT4,,,,"Biologic therapy (BRM, immunotherapy)",
Recombinant Tumor Necrosis Factor,,,NO,,rTNF (produced by recombination),,,,"Biologic therapy (BRM, immunotherapy)",
Regorafenib,,,NO,"Stivarga received FDA approval September 27, 2012 to treat colorectal cancer.

4/28/2017: FDA expanded the approved use of Stivarga (regorafinib) to include treatment of patients with hepatocellular carcinoma who have been previously treated with the drug sorafenib. This is the first FDA-approved treatment for a liver cancer in almost a decade.",Stivarga,Breast;Colorectal;Liver,,900003,Chemotherapy,Multi-kinase inhibitor
Relacatib,,,NO,Phase II GlaxoSmithKline.,GSK 462795;GSK-462795;GSK462795,Bone metastases,,,Chemotherapy,Cytostatic agent--cathepsin-K inhibitor
Rencarex,,,NO,Phase II Monoclonal antibody. Wilex AG.,WX G250;WX-G250;WXG250,Kidney cancer,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
Reolysin,,,NO,"Feb. 2015: FDA granted Orphan Drug Designation to Reolysin for the treatment of pancreatic cancer. It has previously received Orphan Drug Recognition for the treatment of ovarian, fallopian tube, and primary peritoneal cancers.",Reovirus,Brain cancer;Ovary;Pancreatic,,729968,Chemotherapy,Cytotoxic human reovirus
Resmycin,,,NO,"Phase II Cytotoxic. Battelle Pharma, Zivena.",Doxorubicin HCl inhalation solution,Sarcoma,,,Chemotherapy,Antitumor antibiotic
Retacrit,,,YES,"5/18/2018 The FDA approved Retacrit (epoetin alfa-epbx) as a biosimilar to Epogen/ Procrit (epoetin alfa) for the treatment of anemia caused by chronic kidney disease, chemotherapy, or use of zidovudine in patients with HIV infection. Retacrit is also approved for use before and after surgery to reduce the chance that red blood cell transfusions will be needed because of blood loss during surgery.",epoetin alfa-epbx,,,,Ancillary Agent,
Retevmo,,,NO,"May 8, 2020: The FDA approved Retevmo (selpercatinib) capsules to treat three types of tumors – non-small cell lung cancer, medullary thyroid cancer and other types of thyroid cancers – in patients whose tumors have an alteration (mutation or fusion) in a specific gene (RET or “rearranged during transfection”). Retevmo is the first therapy approved specifically for cancer patients with the RET gene alterations",selpercatinib,Lung;Thyroid,,,Chemotherapy,RET inhibitor
Retinyl Acetate,,,YES,Vitamin.,Antixerophthalmic Vitamin;Aquasol A;Arovit;Axerophtholum;Del-Vi-A;Oleovitamin A;Palmitate-A;Pedi-Vit-A;Retinol;Retinyl Palmitate;Vitamin A;Vitamin A1,,RA;Vit A,,Differentiation inducing agent,
Retrovector,,,NO,Phase I Retroviral vector. Chiron.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Exogenous cytokine
Rhenium 186 Etidronate,,,YES,A bone-seeking radiopharmaceutical for metastatic bone pain; Not recommended until additional data available.,Re-186 HEDP;Rhenium-186 HEDP,,,,Ancillary Agent,
Rhenium-186,,,YES,Palliative for skeletal metastases,,,HEDP,,Ancillary Agent,
Rhizoxin,,,NO,,,,RZN,332598,Chemotherapy,Antimitotic agent
Riabni,,,NO,"12/17/2020 The FDA approved Riabni (rituximab-arrx), the 3rd biosimilar to U.S.-licensed Rituxan (rituximab).",Rituximab-arrx,,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
Ribavirin,,,YES,A synthetic nucleoside with antiviral activity.,Rebetol;Viramid;Virazol;Virazole,,,163039;609473,AIDS drug,
Ribociclib,,,NO,"7/18/2018: FDA expanded the indication for ribociclib (Kisqali) in combination with an aromatase inhibitor for pre/perimenopausal women with HR-positive, HER2-negative advanced or metastatic breast cancer, as initial endocrine-based therapy. 

3/17/2017: FDA approved Kisqali (ribociclib, formerly known as LEE011) in combination with an aromatase inhibitor as initial endocrine-based therapy for treatment of postmenopausal women with hormone receptor positive, human epidermal growth factor receptor-2 negative (HR+/HER2-) advanced or metastatic breast cancer.

August 23, 2016: FDA granted Breakthrough Therapy Designation to Ribociclib as first line treatment for HR+/HER2- advanced or metastatic breast cancer.",LEE011;Kisqali,Breast,,,Chemotherapy,CDK 4/6 Inhibitor
Riboflavin,,,YES,A B-complex vitamin; cancer preventative,Lactoflavin;Vitamin B2;Vitamin G,,,,Ancillary Agent,
Riboprine,,,NO,,SQ 22558,,IPA,105546,Chemotherapy,
Rifabutin,,,YES,Rifabutin is indicated for the prevention of Mycobacterium Avium complex (MAC) in patients with advanced HIV. It has been used in combination with other drugs for the treatment of MAC in patients with AIDS. It has also been used to treat other mycobacterial infections.,Ansamycin;LM427;Mycobutin;Rifabutine,,,113926,AIDS drug,
Rifampin,,,YES,Treatment of opportunistic mycobacterial infections; antibiotic. Under investigation for Rx of MAC. Rx of tuberculosis,Ba-41166/E;L-5103;Rifadin;Rifadin IV;Rifaldazine;Rifamate;Rifampicin;Rifamycin AMP;Rifater;Rimactane;Rofact,,,113926,AIDS drug;Ancillary Agent,Ancillary antibiotic
Rindopepimut,,Glioblastoma Multiforme,SEE_REMARKS,"Rindopepimut (Rintega) has gained a Breakthrough Therapy Designation from the FDA to treat adult patients with glioblastoma multiforme (GBM) that test positive for the epidermal growth factor receptor (EGFR) variant (EGFRvIII). this drug is currently in phase III clinical trials and has not received final FDA approval as of December 2015.

Coding information: Until Rindopepimut receives final FDA approval, code in Other Treatment and assign code 2. If approval if granted, then this agent will be coded as BRM/Immunotherapy.",CDX-110;Rintega,Brain,,,"Biologic therapy (BRM, immunotherapy)",Vaccination
Ripretinib,,GIST,NO,"May 15, 2020: The FDA approved ripretinib (QINLOCK) for adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",QINLOCK,,,,Chemotherapy,KIT/PDGFR Inhibitor
Risedronate sodium,,,YES,Inhibits osteoclast-mediated bone resorption and modulates bone metabolism,Actonel,,,722598,Ancillary Agent,
Rituximab,,,NO,"December 2, 2021 The FDA approved rituximab (Rituxan, Genentech, Inc.) in combination with chemotherapy for pediatric patients (≥6 months to <18 years) with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL), or mature B-cell acute leukemia (B-AL). 

JANUARY 2013 IMPORTANT UPDATE:  This drug has changed categories. A comprehensive review has been completed and in keeping with the FDA, Rituximab is to be coded as a Biologic therapy/Immunotherapy agent. Effective with diagnosis date January 1, 2013 forward, code Rituximab as BRM/Immunotherapy. For cases diagnosed prior to January 1, 2013 continue coding as chemotherapy.

FDA approved 2/2006 for treatment of diffuse large B-cell, CD-20 positive non-Hodgkin lymphoma.

FDA approved 9/2006 for non-Hodgkin's B-cell lymphoma. Also used to treat autoimmune disorders, hemolytic anemia and ITP.

FDA approved 2/2010 for use in combination with cyclophosphamide and fludarabine in treatment of CLL.

FDA approved for maintenance therapy for previously untreated follicular CD-20 positive B-cell non-Hodgkin lymphoma who achieved response to rituximab in combination with chemotherapy.

June 22, 2017 FDA granted regular approval to the combination of rituximab and hyaluronidase human (RITUXAN HYCELA) for adult patients with follicular lymphoma, diffuse large B-cell lymphoma, and chronic lymphocytic leukemia.  


.",Anti-CD20 monoclonal antibodies;C2B8 monoclonal antibody;IDEC-C2B8;MabThera;Monoclonal antibody IDEC-C2B8;Rituxan,Leukemia;NHL,,687451,"Biologic therapy (BRM, immunotherapy)",Cytostatic monoclonal antibody
Ro 24-7429,,,YES,Code name for a benzodiazepine derivative with anti-HIV activity (TAT gene inhibitor),,,,,AIDS drug,
Ro-03-8799,,,YES,Radiosensitizer,Pimonidazole,,,,Ancillary Agent,
Rofecoxib,,,YES,Possible anti-angiogenic (see also celebrex),Vioxx,,,720256,Ancillary Agent,
Roscovitine,,,NO,"As of March 2012, roscovitine is currently in clinical trials for NSCLC, AML and B-cell lymphomas. Code in ""Other Treatment"" until approval received from FDA.",CYC202;R-roscovitine;Seliciclib,Acute myelogenous leukemia (AML);B-cell lymphomas;Non small cell lung cancer (NSCLC),,,Chemotherapy,CDK inhibitor- see remarks
Rozlytrek,,,NO,"August 15, 2019 FDA granted accelerated approval to entrectinib (ROZLYTREK) for adults and pediatric patients 12 years of age and older with solid tumors that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. 

Rozlytrek was also approved for the treatment of adults with non-small cell lung cancer whose tumors are ROS1-positive (mutation of the ROS1 gene) and has spread to other parts of the body (metastatic).",Entrectinib,,,,Chemotherapy,Tyrosine kinase inhibitor
Rubitecan,,,NO,"Phase II, Phase II MDS, CML, Phase III pancreatic Topoisomerase I inhibitor. SuperGen.",9-Nitrocamptothecin;Orathecin;RFS 2000;RFS2000,Brain;breast;cervical;colorectal;gastric;head & neck;leukemia;liver;lung;lymphoma;melanoma;ovarian;pancreatic;prostate cancer,9-NC,603070,Chemotherapy,Topoisomerase inhibitor
Rubraca,,,NO,"May 15, 2020: The FDA granted accelerated approval to rucaparib (RUBRACA) for patients with deleterious BRCA mutation (germline and/or somatic)-associated metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptor-directed therapy and a taxane-based chemotherapy. 

April 6, 2018: The FDA approved rucaparib (Rubraca), a PARP inhibitor, for the maintenance treatment of recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy.

December 19, 2016 The FDA granted accelerated approval to Rubraca (rucaparib) to treat women with a certain type of ovarian cancer. Rubraca is approved for women with advanced ovarian cancer who have been treated with two or more chemotherapies and whose tumors have a specific gene mutation (deleterious BRCA) as identified by an FDA-approved companion diagnostic test. BRCA genes are involved with repairing damaged DNA and normally work to prevent tumor development. However, mutations of these genes may lead to certain cancers, including ovarian cancers. Rubraca is a poly ADP-ribose polymerase (PARP) inhibitor that blocks an enzyme involved in repairing damaged DNA. By blocking this enzyme, DNA inside the cancerous cells with damaged BRCA genes may be less likely to be repaired, leading to cell death and possibly a slow-down or stoppage of tumor growth.",Rucaparib,Ovary,,,Chemotherapy,PARP (poly-ADP-ribose polymerase)
Ruxience,,,NO,"7/23/2019
 FDA approved Ruxience (rituximab-pvvr), a biosimilar to U.S.-licensed Rituxan (rituximab) for the treatment of adult patients with CD20-positive B-cell non-Hodgkin’s lymphoma (NHL) to be used as a single agent or in combination with chemotherapy, and CD20-positive Chronic Lymphocytic Leukemia (CLL) in combination with chemotherapy

Ruxience is indicated for the treatment of adult patients with:
•	Relapsed or refractory, low grade or follicular, CD20-positive B-cell NHL as a single agent;
•	Previously untreated follicular, CD20-positive, B-cell NHL in combination with first line chemotherapy and, in patients achieving a complete or partial response to a rituximab product in combination with chemotherapy, as single-agent maintenance therapy; and
•	Non-progressing (including stable disease), low-grade, CD20 positive, B-cell NHL as a single agent after first-line cyclophosphamide, vincristine, and prednisone (CVP) chemotherapy;
•	Previously untreated diffuse large B-cell, CD20-positive NHL in combination with (cyclophosphamide, doxorubicin, vincristine, and prednisone) (CHOP) or other anthracycline-based chemotherapy regimens;
•	Previously untreated and previously treated CD20-positive CLL in combination with fludarabine and cyclophosphamide (FC);",Rituximab-pvvr,,,,"Biologic therapy (BRM, immunotherapy)",Biosimilar
Ruxolitinib,,Polycythemia vera (PV),SEE_REMARKS,"September 22, 2021 The FDA approved ruxolitinib (Jakafi) for chronic graft-versus-host disease (cGVHD) after failure of one or two lines of systemic therapy in adult and pediatric patients 12 years and older. 

May 24, 2019: FDA approved ruxolitinib (JAKAFI) for steroid-refractory acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older

December 4, 2014: Ruxolitinib received FDA approval for treatment of polycythemia vera (PV) 

November 16, 2011: Ruxolitinib received FDA approval for treatment of myelofibrosis. It has been designated an Orphan Drug.",Jakafi;Jakavi;Ruxolitinib,Bone marrow (myelofibrosis),,,Chemotherapy,JAK 1 and JAK 2 (Janus Kinase Inhibitor)
Rybrevant,,,NO,"May 21, 2021 The FDA approved Rybrevant (amivantamab-vmjw) as the first treatment for adult patients with non-small cell lung cancer whose tumors have specific types of genetic mutations: epidermal growth factor receptor (EGFR) exon 20 insertion mutations.",amivantamab-vmjw;amivantamab,Lung,,,"Biologic therapy (BRM, immunotherapy)",EGFR antibody
Rylaze,,Acute lymphoblastic leukemia and lymphoma,NO,7/2/2021 The FDA approved Rylaze (asparaginase erwinia chrysanthemi (recombinant)-rywn) as a component of a chemotherapy regimen to treat acute lymphoblastic leukemia and lymphoblastic lymphoma in adult and pediatric patients who are allergic to the E. coli-derived asparaginase products used most commonly for treatment. The only other FDA-approved drug for such patients with allergic reactions has been in global shortage for years.,asparaginase erwinia chrysanthemi,,,,Chemotherapy,Anti-neoplastic
SB-1518,,,NO,"New drug currently in trials, code in other therapy",,AML;CML;MDS,,,Chemotherapy,JAK-2 inhibitor
SB249553,,,NO,Phase II Recombinant Therapeutic Vaccine. GlaxoSmithKline.,SB 249553;SB-249553,Lung;melanoma;skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
SB408075,,,NO,Phase II Monoclonal antibody; tumor activated pro-drug. GlaxoSmithKline.,,Colorectal;lung cancer,,,Chemotherapy,Cytotoxic chemotherapy conjugated to monoclonal antibody
SC-1,,,NO,Phase II H3 Pharma,,Gastric cancer,,,Chemotherapy,Cytostatic agent--apoptosis inducer
SCH-900776,,,NO,"I New drug currently in trials, code in other therapy",,ALL;AML;CML;Hodgkin;NHL,,NCT00779584,Chemotherapy,Cell cycle inhibitor
SCH619734,,,YES,Anti-emetic.  Schering-Plough,SCH 619734;SCH-619734,,,,Ancillary Agent,
SCIO-469,,,NO,Phase II Scios.  Also investigated for rheumatoid arthritis,SCIO 469;SCIO469,Multiple myeloma,,,Chemotherapy,Cytostatic agent--protein kinase inhibitor
SDX-101,,,NO,Phase II CLL Salmedix.,R-Etodolac,Leukemia,,,Chemotherapy,Cytostatic agent--apoptosis inducer
SERM III,,,NO,Phase III Eli Lilly.,,Breast;endometrial cancer,,,Hormones and hormonal mechanisms,Selective estrogen receptor modulator (SERM)
SGN 17/19,,,NO,Phase I melanoma Monoclonal antibody plus prodrug melphalan. Seattle Genetics.,SGN-17/19;SGN17/19,Skin cancer,,,Chemotherapy,Alkylating agent
SGN-00101,,,NO,Phase II Stressgen Biotechnologies.,HspE7,Cervical;colorectal cancer,,713219,Ancillary Agent,Chemoprevention
SGN-10,,,NO,Phase I NSCLC Single chain immunotoxin (SCIT). Seattle Genetics.,BR96sFv-PE40;SGN 10;SGN10,Breast;colorectal;lung;ovarian;pancreatic;prostate cancer,,,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
SGN-15,,,NO,"Phase I/II (ovarian) Phase II NSCLC, prostate Monoclonal antibody. Seattle Genetics, NCI.",cBR96-doxorubicin immunoconjugate;SGN 15;SGN15,Breast;colorectal;lung;ovarian;prostate cancer,,,Chemotherapy,Antitumor antibiotic conjugated to monoclonal Antibody
SGN-25,,,NO,Pre-clinical Antibody drug conjugate. Seatle Genetics.,,Prostate cancer,,,Chemotherapy,Antimitotic agent conjugated to monoclonal Antibody
SGN-30,,,NO,Phase I Monoclonal antibody. Seattle Genetics.,,ALCL;Lymphoma,,731636,Chemotherapy,Cytostatic agent--apoptosis inducer
SJG-136,,,NO,Phase I advanced solid tumors 2007,SJG 136;SJG136,Solid tumors,,694501,Chemotherapy,Alkylating agent
SKI-606,,,NO,Dual protein kinase inhibitor,Bosulif;Bosutinib;SKI 606;SKI606,AML,,,Chemotherapy,Protein kinase inhibitor
SL-11047,,,NO,"Phase I refractory lymphoma 2007 Second generation polyamine analog that may displace endogenous polyamines from DNA binding sites, thereby interfering with cell cycle processes dependent upon polyamine binding and function, and resulting in cell-cycle arrest, induction of apoptosis, depletion of polyamines, and interference with gene and ligand-receptor activities involved with cell growth.  SLIL Biomedical.",SL 11047;SL11047,Lymphoma,,,Chemotherapy,Antimetabolite
SNS-595,,,NO,Phase II Sunesis.,SNS 595;SNS595,NSC lung,,,Chemotherapy,Cytotoxic agent--S phase apoptosis initiator
SNX-1012,,,YES,Protectant for oral mucositis due to chemotherapy.  Serenex.,SNX 1012;SNX1012,,,,Ancillary Agent,
SP-PG,,,YES,Inhibits angiogenesis; under investigation for Rx of Kaposis's sarcoma,,,,,AIDS drug,
SP1049C,,,NO,Phase II Anthracycline in combination with biotransport carrier technology. Supratek Pharma.,,Head & neck cancer,,,Chemotherapy,Anthracycline
SPD424,,,NO,Phase II GnRH agonist. Shire Pharmaceuticals.,Histrelin implant;LHRH-Hydrogel implant;RL 0903;SPD 424;Vantas,Prostate cancer,,,Hormones and hormonal mechanisms,LHRH agonist
